case_summaries,source
"Ker v. California, 374 U.S. 23 (1963), was a case before the United States Supreme Court, which incorporated the Fourth Amendment's protections against illegal search and seizure.  The case was decided on June 10, 1963, by a vote of 5–4.",wiki
"Two Pesos, Inc. v. Taco Cabana, Inc., 505 U.S. 763 (1992), was a United States Supreme Court case where the Court held that Two Pesos, Inc. infringed upon the trademark of Taco Cabana, Inc. by copying the design of their restaurants. Writing for a majority of the court, Justice Byron White concluded that trade dress is inherently distinctive under the Lanham Act and that plaintiffs are not required to prove secondary meaning in suits to protect their trademark. The Court upheld an award of $3.7 million in damages, and Taco Cabana ultimately acquired all of Two Pesos' assets in 1993 for $22 million.",wiki
"Lamb's Chapel v. Center Moriches Union Free School District, 508 U.S. 384 (1993), was a decision by the Supreme Court of the United States concerning whether the Free Speech Clause of the First Amendment was offended by a school district that refused to allow a church access to school premises to show films dealing with family and child-rearing issues faced by parents. In a unanimous decision, the court concluded that it was.",wiki
"Graham v. Florida, 560 U.S. 48 (2010), was a decision by the Supreme Court of the United States holding that juvenile offenders cannot be sentenced to life imprisonment without parole for non-homicide offenses.
In June 2012, in the related Miller v. Alabama, the Court ruled that mandatory sentences for life without parole for juvenile offenders, even in cases of murder, was cruel and unusual punishment in violation of the Eighth Amendment to the United States Constitution.",wiki
"United States v. Wunderlich, 342 U.S. 98 (1951), was a case decided before the United States Supreme Court.",wiki
"Trammel v. United States, 445 U.S. 40 (1980), is a United States Supreme Court case involving the spousal privilege and its application in the law of evidence. In it, the Court held that the witness-spouse alone has a privilege to refuse to testify adversely; the witness may be neither compelled to testify nor foreclosed from testifying.
In it, the court upheld the conviction of the Petitioner. Prior to presenting his case before the Supreme Court, the Petitioner was convicted of illegally smuggling heroin into the United States and conspiracy to import, based upon the testimony of his wife. The Petitioner then appealed, claiming that the admission of the adverse testimony of his wife, over his objection, contravened prior precedent and therefore constituted reversible error.
The court rejected both traditional and contemporary justifications for the traditional scope of the privilege.
In so ruling, the court held that a witness-spouse alone has a privilege to refuse to testify adversely; the witness may be neither compelled to testify nor foreclosed from testifying.",wiki
"Boddie v. Connecticut, 401 U.S. 371 (1971), was a case before the United States Supreme Court.

",wiki
"St. Mary's Honor Center v. Hicks, 509 U.S. 502 (1993), was a US labor law case before the United States Supreme Court on the burden of proof and the relevance of intent for race discrimination.

",wiki
"Polar Tankers, Inc. v. City of Valdez, 557 U.S. 1 (2009), was a decision by the Supreme Court of the United States involving the tonnage clause of the United States Constitution.
The City of Valdez in Alaska imposed a property tax that, in practice, applied only to large oil tankers. Polar Tankers, a ConocoPhillips subsidiary, sued, arguing that the tax violated the Tonnage Clause of the Constitution, which forbids a state, ""without the Consent of Congress, [to] lay any Duty of Tonnage.""
The Supreme Court agreed with Polar Tankers. The court noted that the original meaning of the clause was as a term of art for a tax imposed that varies with ""the internal cubic capacity of a vessel,"" but emphasized that a consistent line of cases had read the clause broadly, ""forbidding a State to do that indirectly which she is forbidden ... to do directly."" Those cases, the court concluded, stood for the proposition that the tonnage clause's prohibition reaches any taxes or duties on a ship, ""whether a fixed sum upon its whole tonnage, or a sum to be ascertained by comparing the amount of tonnage with the rate of duty[,] ... regardless of [the tax or duty's] name or form ... which operate to impose a charge for the privilege of entering, trading in, or lying in a port.""
With this premise in mind, the court concluded that because Valdez taxes ""ships and to no other property at all[,] ... in order to obtain revenue for general city purposes[, this was] ... the kind of tax that the Tonnage Clause forbids Valdez to impose without the consent of Congress, consent that Valdez lacks.""",wiki
"Williamson v. Mazda Motor of America, Inc., 562 U.S. 323 (2011), was a decision by the Supreme Court of the United States, in which the Court unanimously held that Federal Motor Vehicle Safety Standard 208, promulgated by the National Highway Traffic Safety Administration, does not federally preempt state tort lawsuits against auto manufacturers from injuries caused by a defective lack of certain types of seat belts.
The case arose when Thanh Williamson died in a 2002 auto accident from seat-belt related injuries. Williamson's family filed suit against Mazda Motor of America in California state court, claiming a defective design leading to a wrongful death. However, the California trial court dismissed the suit on the pleadings, agreeing with Mazda that the action was preempted by federal law, and the California Court of Appeal affirmed the dismissal. The California Supreme Court declined to review the case, but the U.S. Supreme Court accepted the Williamson's petition for certiorari.
In a unanimous decision handed down on February 23, 2011, the Court unanimously (8-0, with Justice Elena Kagan not taking part in this case) reversed the California courts and held that federal preemption does not apply. Justice Stephen Breyer wrote the decision of the court. Justice Sonia Sotomayor wrote a concurring opinion, and Justice Clarence Thomas wrote an opinion concurring in the judgment.",wiki
